job,salary,where,time,catagory,num,createtime,companyname,properties,scale,industry
猎头实习生,120元/日,广州,实习5天/周,猎头顾问/助理,1人,18:40发布,广州正略钧策企业管理咨询有限公司,,,房地产开发/建筑/建材/工程
数据开发,年薪30-36w,深圳-福田区,应届,数据开发,3人,20:18发布,北京视锦达科技有限公司,,,
运营支持类,面议,惠州,应届,柜员/银行会计,15人,18:01发布,兴业银行股份有限公司惠州分行,国内上市公司,100-499人,银行
储备干部,年薪7-18w,深圳,应届,储备干部,30人,21:37发布,华思旭,私营·民营企业,100-499人,电子技术/半导体/集成电路
财务岗管培生,年薪7-12w,深圳,应届,管理培训生,3人,18:35发布,深圳天安智慧园区运营有限公司,中外合营(合资·合作),2000-5000人,房地产服务(物业管理/地产经纪)
管理培训生,年薪5-8w,安庆-怀宁县,应届,管理培训生,不限,18:00发布,玺拓集团,私营·民营企业,500-999人,计算机软件
广东分公司-风险管理岗（风险合规类）,年薪8-10w,广州,应届,保险内勤,不限,20:15发布,华夏人寿保险股份有限公司,其他,10000人以上,保险
销售行政助理,120元/日,北京-朝阳区,实习5天/周,销售行政专员/助理,2人,19:07发布,北京星映传媒广告有限公司,私营·民营企业,100-499人,互联网/移动互联网/电子商务
2021届应届生无人驾驶算法工程师,年薪12-24w,深圳-宝安区,应届,算法工程师,不限,18:49发布,深圳市镭神智能系统有限公司,私营·民营企业,100-499人,电子技术/半导体/集成电路
经理助理/秘书,年薪6-10w,上海-普陀区,应届,秘书/文员,不限,19:46发布,新壹云,私营·民营企业,50-99人,互联网/移动互联网/电子商务
产品经理,年薪14-17w,武汉-硚口区,应届,产品经理,3人,19:40发布,北京物腾联同创科技有限公司,私营·民营企业,2000-5000人,社交网络
机械工程师,年薪8-10w,泰州,应届,机械工程师,30人,20:18发布,可胜科技(苏州)有限公司,外商独资·外企办事处,10000人以上,电子设备
产品经理,年薪14-17w,沧州,应届,产品经理,3人,19:40发布,北京物腾联同创科技有限公司,私营·民营企业,2000-5000人,社交网络
21秋校：IC设计工程师,年薪12-17w,广州-黄埔区,应届,集成电路IC设计/应用工程师,不限,18:15发布,金升阳科技,私营·民营企业,2000-5000人,电子技术/半导体/集成电路
【2021届】Web前端开发工程师,年薪17-23w,广州,应届,WEB前端开发工程师,10人,19:08发布,四三九九信息科技,私营·民营企业,1000-2000人,游戏开发
助理MES实施顾问,80元/日,重庆,实习5天/周,IT咨询顾问,2人,18:21发布,初米网络科技(上海)有限公司,私营·民营企业,100-499人,行业Saas
高级储备干部（双一流应届生）,年薪12-18w,北京,应届,储备干部,10人,18:23发布,北京天时佳阁房地产投资顾问有限公司,私营·民营企业,100-499人,房地产服务(物业管理/地产经纪)
市场专员/助理,年薪10-16w,深圳-福田区,应届,市场专员/助理,8人,19:02发布,贝壳找房(深圳)科技有限公司,私营·民营企业,10000人以上,房地产开发/建筑/建材/工程
游戏策划,年薪10-18w,广州,应届,游戏策划师,不限,19:08发布,四三九九信息科技,私营·民营企业,1000-2000人,游戏开发
招聘专员,年薪5-7w,杭州,应届,招聘专员/助理,1人,18:43发布,金柚网,私营·民营企业,1000-2000人,互联网/移动互联网/电子商务
助理技术顾问,80元/日,重庆,实习5天/周,Javascript,4人,18:21发布,初米网络科技(上海)有限公司,私营·民营企业,100-499人,行业Saas
客户主任实习生,100元/日,广州-海珠区,实习4天/周,广告客户专员,不限,18:19发布,广州市原象信息科技有限公司,私营·民营企业,100-499人,电子商务
技术管培生,年薪5-7w,聊城,应届,储备干部,20人,19:49发布,山东金帝精密机械科技股份有限公司,私营·民营企业,1000-2000人,汽车/摩托车
广东分公司-员工关系岗（人力行政类）,年薪8-10w,广州,应届,保险内勤,不限,20:15发布,华夏人寿保险股份有限公司,其他,10000人以上,保险
ka大客户代表,年薪10-18w,北京-朝阳区,应届,大客户销售,10人,18:35发布,麦田房产,私营·民营企业,5000-10000人,房地产服务(物业管理/地产经纪)
运营管培生（客户咨询）,年薪12-18w,北京,应届,用户运营,10人,18:23发布,北京天时佳阁房地产投资顾问有限公司,私营·民营企业,100-499人,房地产服务(物业管理/地产经纪)
内容电商运营实习生,100元/日,广州-海珠区,实习4天/周,内容运营,不限,18:19发布,广州市原象信息科技有限公司,私营·民营企业,100-499人,电子商务
助理MES开发顾问,80元/日,重庆,实习5天/周,系统集成工程师,2人,18:21发布,初米网络科技(上海)有限公司,私营·民营企业,100-499人,行业Saas
2021届应届生光学工程师,年薪12-19w,深圳-宝安区,应届,激光/光电子技术,不限,18:49发布,深圳市镭神智能系统有限公司,私营·民营企业,100-499人,电子技术/半导体/集成电路
【2021届】Web后端开发工程师,年薪17-23w,广州,应届,Java,10人,19:08发布,四三九九信息科技,私营·民营企业,1000-2000人,游戏开发
CNC工程师,年薪6-7w,苏州,应届,CNC工程师,50人,20:18发布,可胜科技(苏州)有限公司,外商独资·外企办事处,10000人以上,电子设备
市场专员/助理,120元/日,上海,实习4天/周,市场专员/助理,2人,19:02发布,上海开果传媒科技有限公司,,,互联网/移动互联网/电子商务
python实习生,200元/日,北京-朝阳区,实习3天/周,Python,2人,18:38发布,景生星月信息科技(北京)有限公司,私营·民营企业,1-49人,人工智能
法务专员/助理,年薪7-12w,上海-黄浦区,应届,法务专员/助理,1人,18:18发布,卓佳咨询,外商独资·外企办事处,100-499人,咨询服务
2021届应届生技术支持工程师,年薪5-7w,杭州-江干区,应届,IT支持,不限,18:50发布,深圳市镭神智能系统有限公司,私营·民营企业,100-499人,电子技术/半导体/集成电路
广东分公司-培训讲师岗（渠道管理类）,年薪9-14w,广州,应届,保险内勤,不限,20:15发布,华夏人寿保险股份有限公司,其他,10000人以上,保险
【2021届】数据研发工程师,年薪17-23w,广州,应届,数据库开发工程师,10人,19:08发布,四三九九信息科技,私营·民营企业,1000-2000人,游戏开发
电商培训生—推广方向,面议,广州,应届,网络推广专员,不限,18:05发布,欧莱雅百库,外商独资·外企办事处,2000-5000人,电子商务
市场调研与分析,年薪7-10w,深圳-罗湖区,应届,市场调研与分析,1人,20:41发布,顺电,私营·民营企业,2000-5000人,百货/批发/零售
土建工程师,年薪6-8w,深圳-罗湖区,应届,土木/土建工程师,1人,20:41发布,顺电,私营·民营企业,2000-5000人,百货/批发/零售
考核评价岗,面议,不限,应届,绩效经理/主管,不限,18:11发布,恒丰银行,国有企业,5000-10000人,银行
fpga工程师,年薪12-24w,杭州,应届,FPGA,5人,18:00发布,加速科技,私营·民营企业,50-99人,电子技术/半导体/集成电路
市场营销推广专员,年薪10-16w,北京,应届,市场拓展专员/助理,10人,18:35发布,麦田房产,私营·民营企业,5000-10000人,房地产服务(物业管理/地产经纪)
2021届应届生导航算法工程师,年薪12-24w,深圳-宝安区,应届,算法工程师,不限,18:49发布,深圳市镭神智能系统有限公司,私营·民营企业,100-499人,电子技术/半导体/集成电路
储备干部（2020届实习生）,5000元/月,苏州-工业园区,实习5天/周,生产项目工程师,50人,20:19发布,可胜科技(苏州)有限公司,外商独资·外企办事处,10000人以上,电子设备
2021届-系统测试工程师,年薪12-17w,广州,应届,软件测试,不限,19:08发布,四三九九信息科技,私营·民营企业,1000-2000人,游戏开发
管理培训生,年薪5-8w,安庆-望江县,应届,管理培训生,不限,18:00发布,玺拓集团,私营·民营企业,500-999人,计算机软件
2021届应届生slam算法工程师,年薪12-22w,深圳-宝安区,应届,算法工程师,不限,18:49发布,深圳市镭神智能系统有限公司,私营·民营企业,100-499人,电子技术/半导体/集成电路
AE实习生,年薪5-7w,上海,应届,广告客户专员,1人,19:03发布,绿水数字,私营·民营企业,1-49人,广告/公关/市场推广/会展
（华润万象汇）成本合约实习,100元/日,南京-浦口区,实习5天/周,工程合同管理,2人,21:15发布,华润置地商服事业部,国有企业,1000-2000人,房地产服务(物业管理/地产经纪)
客户代表,年薪10-18w,北京,应届,客户代表,15人,18:35发布,麦田房产,私营·民营企业,5000-10000人,房地产服务(物业管理/地产经纪)
行政岗管培生,年薪7-12w,深圳,应届,管理培训生,3人,18:35发布,深圳天安智慧园区运营有限公司,中外合营(合资·合作),2000-5000人,房地产服务(物业管理/地产经纪)
应届生/管培生（物理/光学）,年薪14-28w,上海,应届,激光/光电子技术,不限,20:58发布,上海复享光学股份有限公司,私营·民营企业,50-99人,高端制造
2021届应届生电路工程师,年薪8-18w,深圳-宝安区,应届,电路工程师/技术员,不限,18:49发布,深圳市镭神智能系统有限公司,私营·民营企业,100-499人,电子技术/半导体/集成电路
u3d游戏开发工程师,年薪13-18w,广州,应届,U3D,不限,19:08发布,四三九九信息科技,私营·民营企业,1000-2000人,游戏开发
硬件助理工程师,年薪6-10w,无锡-新吴区,应届,硬件工程师,6人,18:56发布,江苏莱提电气股份有限公司,私营·民营企业,100-499人,仪器仪表
战略咨询,年薪15-23w,北京-朝阳区,应届,战略顾问,1人,18:04发布,明略科技集团,私营·民营企业,2000-5000人,互联网/移动互联网/电子商务
影视植入项目专员,120元/日,上海,实习3天/周,品牌专员/助理,不限,18:49发布,意合众创,私营·民营企业,50-99人,广告营销
2021届应届生多传感器融合算法工程师,年薪14-22w,深圳-宝安区,应届,算法工程师,不限,18:50发布,深圳市镭神智能系统有限公司,私营·民营企业,100-499人,电子技术/半导体/集成电路
人力资源管培生,年薪7-12w,深圳,应届,管理培训生,3人,18:35发布,深圳天安智慧园区运营有限公司,中外合营(合资·合作),2000-5000人,房地产服务(物业管理/地产经纪)
体育教师/教练,年薪7-14w,厦门-思明区,应届,体育教师/教练,25人,21:08发布,厦门趣店科技有限公司,国内上市公司,1000-2000人,互联网/移动互联网/电子商务
产品助理,120元/日,上海,实习4天/周,产品专员/助理,1人,18:20发布,上海精程后勤服务有限公司,私营·民营企业,50-99人,互联网/移动互联网/电子商务
内容编辑实习生,100元/日,广州-海珠区,实习4天/周,网站编辑,不限,18:19发布,广州市原象信息科技有限公司,私营·民营企业,100-499人,电子商务
2021届应届生技术支持工程师,年薪5-7w,天津-西青区,应届,IT支持,不限,18:50发布,深圳市镭神智能系统有限公司,私营·民营企业,100-499人,电子技术/半导体/集成电路
市场专员/助理,年薪10-16w,深圳-光明区,应届,市场专员/助理,8人,19:02发布,贝壳找房(深圳)科技有限公司,私营·民营企业,10000人以上,房地产开发/建筑/建材/工程
品牌设计管培生,年薪7-10w,成都-双流区,应届,平面设计师,3人,20:37发布,四川天味食品集团股份有限公司,私营·民营企业,2000-5000人,食品/饮料/烟酒/日化
证券事务管培生,年薪7-10w,成都-双流区,应届,其他基金/证券/期货/投资,1人,20:37发布,四川天味食品集团股份有限公司,私营·民营企业,2000-5000人,食品/饮料/烟酒/日化
葡语翻译,年薪14-18w,安哥拉,应届,葡萄牙语翻译,5人,18:13发布,浙江中胜实业集团有限公司,私营·民营企业,100-499人,贸易/进出口
非标机械设计工程师,年薪10-12w,北京-海淀区,应届,机械工程师,1人,22:21发布,中国钢研科技集团有限公司,国有企业,10000人以上,新材料
2021届应届生技术支持工程师,年薪5-7w,深圳-宝安区,应届,IT支持,不限,18:50发布,深圳市镭神智能系统有限公司,私营·民营企业,100-499人,电子技术/半导体/集成电路
助理工程师,250元/日,上海,实习5天/周,运维工程师,3人,22:26发布,上海卓隽,私营·民营企业,100-499人,网络安全
客户主任实习生,100元/日,北京-朝阳区,实习4天/周,广告客户专员,不限,18:19发布,广州市原象信息科技有限公司,私营·民营企业,100-499人,电子商务
采购实习生,4000元/月,成都-双流区,实习5天/周,采购专员/助理,1人,20:37发布,四川天味食品集团股份有限公司,私营·民营企业,2000-5000人,食品/饮料/烟酒/日化
美妆调研实习生,130元/日,杭州-萧山区,实习5天/周,调研员,1人,19:01发布,栢特薇(深圳)化妆品有限公司,中外合营(合资·合作),100-499人,百货/批发/零售
行业研究实习生,80元/日,杭州,实习4天/周,行业研究,1人,18:43发布,金柚网,私营·民营企业,1000-2000人,互联网/移动互联网/电子商务
人力资源专员,年薪10-18w,广州,应届,人力资源专员/助理,不限,19:08发布,四三九九信息科技,私营·民营企业,1000-2000人,游戏开发
出纳,年薪4-5w,张家界,应届,出纳员,1人,19:34发布,湖南铜锣湾广场投资有限公司,外商独资·外企办事处,500-999人,房产开发
实习会计,1068元/月,克拉玛依,实习3天/周,会计助理/文员,3人,21:04发布,华远振兴,私营·民营企业,2000-5000人,互联网/移动互联网/电子商务
市场调研实习生,150元/日,上海-徐汇区,实习3天/周,调研员,不限,23:31发布,久远谦长(北京)管理咨询有限公司,私营·民营企业,100-499人,专业服务(咨询/财会/法律/翻译等)
市场专员/助理,年薪10-16w,深圳-盐田区,应届,市场专员/助理,8人,19:02发布,贝壳找房(深圳)科技有限公司,私营·民营企业,10000人以上,房地产开发/建筑/建材/工程
运营岗管培生,年薪7-12w,深圳,应届,管理培训生,3人,18:35发布,深圳天安智慧园区运营有限公司,中外合营(合资·合作),2000-5000人,房地产服务(物业管理/地产经纪)
英语游戏客服实习生,150元/月,广州,实习4天/周,实习生,不限,22:12发布,龙创悦动网络,私营·民营企业,100-499人,游戏开发
财务实习生（阿格拉）,60元/月,南京,实习5天/周,财务助理,4人,18:57发布,五星控股集团,私营·民营企业,10000人以上,基金/证券/期货/投资
大客户销售,年薪12-18w,南宁-青秀区,应届,大客户销售,10人,19:39发布,广西悦择居投资有限公司,私营·民营企业,1-49人,房产交易
储备干部/技术员,年薪6-7w,泰州-海陵区,应届,机械工程师,50人,20:19发布,可胜科技(苏州)有限公司,外商独资·外企办事处,10000人以上,电子设备
市场专员/助理,年薪10-16w,深圳-罗湖区,应届,市场专员/助理,8人,19:02发布,贝壳找房(深圳)科技有限公司,私营·民营企业,10000人以上,房地产开发/建筑/建材/工程
2021届应届生生产、工程储备干部,年薪5-7w,深圳-光明区,应届,储备干部,不限,18:50发布,深圳市镭神智能系统有限公司,私营·民营企业,100-499人,电子技术/半导体/集成电路
储备干部（2020届实习生）,5000元/月,泰州-海陵区,实习5天/周,生产项目工程师,50人,20:19发布,可胜科技(苏州)有限公司,外商独资·外企办事处,10000人以上,电子设备
2021校招岗位-java、C、大数据、前端，产品/项目管理、销售,年薪7-14w,合肥-政务区,应届,Java,300人,18:15发布,思特奇信息技术,国内上市公司,2000-5000人,IT服务/系统集成
销售代表,年薪5-10w,益阳,应届,销售代表,4人,19:34发布,湖南铜锣湾广场投资有限公司,外商独资·外企办事处,500-999人,房产开发
php开发实习生,年薪6-8w,深圳-罗湖区,应届,PHP,1人,20:41发布,顺电,私营·民营企业,2000-5000人,百货/批发/零售
管理培训生,年薪5-8w,安庆-岳西县,应届,管理培训生,不限,18:00发布,玺拓集团,私营·民营企业,500-999人,计算机软件
市场专员/助理,年薪10-16w,深圳-龙岗区,应届,市场专员/助理,8人,19:02发布,贝壳找房(深圳)科技有限公司,私营·民营企业,10000人以上,房地产开发/建筑/建材/工程
广东分公司-人员管理岗（渠道管理类）,年薪9-14w,广州,应届,保险内勤,不限,20:15发布,华夏人寿保险股份有限公司,其他,10000人以上,保险
设计实习生,100元/日,广州-海珠区,实习4天/周,平面设计师,不限,18:19发布,广州市原象信息科技有限公司,私营·民营企业,100-499人,电子商务
工程造价实习,年薪1-4w,温州-龙湾区,应届,工程预结算管理,不限,19:06发布,上海中梁地产集团有限公司,私营·民营企业,10000人以上,房地产开发/建筑/建材/工程
Java开发工程师（校园招聘）,年薪10-17w,上海,应届,Java,1人,18:42发布,百联,国有企业,100-499人,百货/批发/零售
【2021届】人力资源专员,年薪10-18w,广州,应届,人力资源专员/助理,10人,19:08发布,四三九九信息科技,私营·民营企业,1000-2000人,游戏开发
2021届应届生销售工程师,年薪5-10w,深圳-宝安区,应届,销售代表,不限,18:49发布,深圳市镭神智能系统有限公司,私营·民营企业,100-499人,电子技术/半导体/集成电路
直播运营实习生,100元/日,广州-海珠区,实习4天/周,电商运营,不限,18:19发布,广州市原象信息科技有限公司,私营·民营企业,100-499人,电子商务
2021届应届生深度学习算法工程师,年薪12-19w,深圳-宝安区,应届,深度学习,不限,18:49发布,深圳市镭神智能系统有限公司,私营·民营企业,100-499人,电子技术/半导体/集成电路
.net开发工程师,年薪8-17w,广州,应届,.net,15人,20:03发布,科力创新软件(广州)有限公司,外商独资·外企办事处,1-49人,计算机软件
大学生储备干部,年薪5-7w,聊城,应届,储备干部,20人,19:49发布,山东金帝精密机械科技股份有限公司,私营·民营企业,1000-2000人,汽车/摩托车
计算机视觉算法工程师（2020/2021届）,年薪18-24w,上海-浦东新区,应届,机器视觉,1人,23:27发布,北京石头世纪科技股份有限公司,国内上市公司,500-999人,计算机硬件/网络设备
电子工程师（2021届毕业生）,年薪11-14w,上海-浦东新区,应届,电子/电器工程师,不限,18:37发布,上海仙视电子科技有限公司,私营·民营企业,100-499人,电子技术/半导体/集成电路
助理运维工程师,年薪5-7w,上海,应届,运维工程师,3人,22:26发布,上海卓隽,私营·民营企业,100-499人,网络安全
2021届应届生电路助理工程师,年薪5-7w,深圳-宝安区,应届,电子/电器工程师,不限,18:49发布,深圳市镭神智能系统有限公司,私营·民营企业,100-499人,电子技术/半导体/集成电路
机器人导航算法工程师（2020/2021届）,年薪18-24w,北京-海淀区,应届,算法工程师,2人,23:27发布,北京石头世纪科技股份有限公司,国内上市公司,500-999人,计算机硬件/网络设备
海外电商运营（2021届毕业生）,年薪11-14w,上海-浦东新区,应届,海外运营,不限,18:37发布,上海仙视电子科技有限公司,私营·民营企业,100-499人,电子技术/半导体/集成电路
【2021校招】U3D前端开发工程师,年薪16-24w,广州,应届,U3D,不限,19:08发布,四三九九信息科技,私营·民营企业,1000-2000人,游戏开发
房地产销售经理/主管,年薪16-18w,北京,应届,房地产销售经理/主管,10人,22:04发布,麦田房产,私营·民营企业,5000-10000人,房地产服务(物业管理/地产经纪)
财务实习生,80元/日,杭州,实习4天/周,财务助理,4人,18:43发布,金柚网,私营·民营企业,1000-2000人,互联网/移动互联网/电子商务
广东分公司-品质管理岗（运营支持类）,年薪8-10w,广州,应届,保险内勤,不限,20:15发布,华夏人寿保险股份有限公司,其他,10000人以上,保险
运营推广管培生,年薪7-10w,成都-双流区,应届,网络推广专员,5人,20:37发布,四川天味食品集团股份有限公司,私营·民营企业,2000-5000人,食品/饮料/烟酒/日化
空间设计实习生,4000元/月,深圳-罗湖区,实习5天/周,CAD设计/制图,1人,20:41发布,顺电,私营·民营企业,2000-5000人,百货/批发/零售
久谦咨询 | Consulting Staff Recruitment,年薪25-34w,上海-徐汇区,应届,咨询顾问/咨询员,20人,23:31发布,久远谦长(北京)管理咨询有限公司,私营·民营企业,100-499人,专业服务(咨询/财会/法律/翻译等)
外贸业务员,年薪6-18w,聊城,应届,外贸专员/助理,10人,19:49发布,山东金帝精密机械科技股份有限公司,私营·民营企业,1000-2000人,汽车/摩托车
CNC工程师,年薪6-7w,泰州,应届,CNC工程师,50人,20:18发布,可胜科技(苏州)有限公司,外商独资·外企办事处,10000人以上,电子设备
储备干部/技术员,年薪6-7w,苏州-工业园区,应届,机械工程师,50人,20:19发布,可胜科技(苏州)有限公司,外商独资·外企办事处,10000人以上,电子设备
2021届应届生调度算法工程师,年薪12-19w,深圳-宝安区,应届,算法工程师,不限,18:49发布,深圳市镭神智能系统有限公司,私营·民营企业,100-499人,电子技术/半导体/集成电路
策划,120元/日,上海-黄浦区,实习3天/周,文案/策划,不限,18:49发布,意合众创,私营·民营企业,50-99人,广告营销
【2021校招】游戏测试工程师,年薪11-20w,广州,应届,游戏测试,不限,19:08发布,四三九九信息科技,私营·民营企业,1000-2000人,游戏开发
产品经理,年薪14-17w,承德,应届,产品经理,3人,19:40发布,北京物腾联同创科技有限公司,私营·民营企业,2000-5000人,社交网络
客户经理管培生,年薪7-11w,成都-双流区,应届,客户经理/主管,45人,20:37发布,四川天味食品集团股份有限公司,私营·民营企业,2000-5000人,食品/饮料/烟酒/日化
分行培训生（2021届校招）,年薪8-12w,温州-鹿城区,应届,其他银行职位,20人,18:59发布,宁波银行股份有限公司温州分行,国内上市公司,500-999人,银行
人力资源专员/助理,180元/日,深圳,实习3天/周,人力资源专员/助理,1人,21:14发布,开泰科技,外商独资·外企办事处,50-99人,计算机软件
计算机软件专业-应届/实习生,年薪7-14w,长沙,应届,其他互联网+技术职位,不限,18:23发布,中科空间长沙信息科技研究院,其他,50-99人,计算机软件
房地产销售人员,8000元/月,上海,实习5天/周,房地产销售人员,10人,18:39发布,德佑房地产经纪有限公司上海第一千八百七十一分公司,私营·民营企业,10000人以上,房地产服务(物业管理/地产经纪)
财务/审计管培生,年薪7-10w,成都-双流区,应届,其他财务/审计/税务职位,3人,20:37发布,四川天味食品集团股份有限公司,私营·民营企业,2000-5000人,食品/饮料/烟酒/日化
项目策划专员,120元/月,上海,实习3天/周,媒介策划,不限,18:50发布,意合众创,私营·民营企业,50-99人,广告营销
游戏广告投放,年薪10-18w,广州,应届,媒介投放,不限,19:08发布,四三九九信息科技,私营·民营企业,1000-2000人,游戏开发
2021届应届生销售工程师,年薪5-10w,天津-西青区,应届,销售代表,不限,18:49发布,深圳市镭神智能系统有限公司,私营·民营企业,100-499人,电子技术/半导体/集成电路
python开发,200元/日,北京-朝阳区,实习4天/周,Python,2人,18:38发布,景生星月信息科技(北京)有限公司,私营·民营企业,1-49人,人工智能
机器人系统软件开发工程师,年薪18-24w,上海-浦东新区,应届,系统工程师,1人,23:27发布,北京石头世纪科技股份有限公司,国内上市公司,500-999人,计算机硬件/网络设备
食品分析管培生,年薪8-11w,成都-双流区,应届,其他生产/制造/研发职位,2人,20:37发布,四川天味食品集团股份有限公司,私营·民营企业,2000-5000人,食品/饮料/烟酒/日化
应用工程师,年薪7-18w,杭州,应届,集成电路IC设计/应用工程师,5人,18:00发布,加速科技,私营·民营企业,50-99人,电子技术/半导体/集成电路
2021届应届生计算机视觉算法工程师,年薪12-19w,深圳-宝安区,应届,算法工程师,不限,18:49发布,深圳市镭神智能系统有限公司,私营·民营企业,100-499人,电子技术/半导体/集成电路
内容营销策划实习生,100元/日,广州-海珠区,实习4天/周,文案/策划,不限,18:19发布,广州市原象信息科技有限公司,私营·民营企业,100-499人,电子商务
财务实习生,120元/日,上海,实习3天/周,财务助理,1人,18:07发布,欧力士(中国)投资公司,外商独资·外企办事处,50-99人,基金/证券/期货/投资
久谦咨询 Intern Analyst,300元/日,上海-徐汇区,实习4天/周,咨询顾问/咨询员,20人,23:31发布,久远谦长(北京)管理咨询有限公司,私营·民营企业,100-499人,专业服务(咨询/财会/法律/翻译等)
人力资源实习生,150元/日,上海-长宁区,实习3天/周,人力资源专员/助理,不限,18:06发布,橙联(中国)有限公司,中外合营(合资·合作),100-499人,互联网/移动互联网/电子商务
销售代表,年薪5-7w,济南-历下区,应届,销售代表,10人,18:39发布,如康清真食品,私营·民营企业,500-999人,原材料及加工
秘书岗管培生,年薪7-12w,深圳,应届,管理培训生,3人,18:35发布,深圳天安智慧园区运营有限公司,中外合营(合资·合作),2000-5000人,房地产服务(物业管理/地产经纪)
设计助理,120元/月,上海-黄浦区,实习3天/周,媒体广告设计,不限,18:49发布,意合众创,私营·民营企业,50-99人,广告营销
市场管培生,年薪7-10w,成都-双流区,应届,其他市场/公关/广告/会展职位,2人,20:37发布,四川天味食品集团股份有限公司,私营·民营企业,2000-5000人,食品/饮料/烟酒/日化
组长/拉长,年薪7-10w,泰州,应届,组长/拉长,50人,20:18发布,可胜科技(苏州)有限公司,外商独资·外企办事处,10000人以上,电子设备
会计助理/文员,年薪7-10w,北京-朝阳区,应届,会计助理/文员,1人,18:18发布,卓佳咨询,外商独资·外企办事处,100-499人,咨询服务
销售顾问（储备店长+专业培训）,年薪12-18w,北京,应届,销售代表,10人,18:23发布,北京天时佳阁房地产投资顾问有限公司,私营·民营企业,100-499人,房地产服务(物业管理/地产经纪)
游戏客服实习生,100元/日,广州-天河区,实习4天/周,实习生,不限,19:09发布,四三九九信息科技,私营·民营企业,1000-2000人,游戏开发
招生咨询老师,年薪6-10w,深圳-光明区,应届,培训/招生/课程顾问,不限,20:01发布,深圳市光明区学上教育培训中心,其他,50-99人,教育/培训/学术/科研/院校
市场策划专员（2021届）,年薪10-13w,上海-浦东新区,应届,市场企划专员/助理,不限,18:37发布,上海仙视电子科技有限公司,私营·民营企业,100-499人,电子技术/半导体/集成电路
2021届应届生上位机软件工程师,年薪7-10w,深圳-宝安区,应届,嵌入式软件开发,不限,18:50发布,深圳市镭神智能系统有限公司,私营·民营企业,100-499人,电子技术/半导体/集成电路
【2021校招】云计算运维工程师,年薪11-20w,广州,应届,运维工程师,不限,19:08发布,四三九九信息科技,私营·民营企业,1000-2000人,游戏开发
实习生,120元/日,北京-朝阳区,实习5天/周,销售经理/主管,2人,19:07发布,北京星映传媒广告有限公司,私营·民营企业,100-499人,互联网/移动互联网/电子商务
质量检测员/测试员,年薪6-7w,苏州,应届,质量检测员/测试员,50人,20:18发布,可胜科技(苏州)有限公司,外商独资·外企办事处,10000人以上,电子设备
空间设计师,年薪6-8w,深圳-罗湖区,应届,室内装潢设计,1人,20:41发布,顺电,私营·民营企业,2000-5000人,百货/批发/零售
管理培训生,年薪6-14w,厦门,应届,管理培训生,7人,18:06发布,福信金融控股,私营·民营企业,100-499人,基金/证券/期货/投资
研发实习生,3000元/月,南京-浦口区,实习4天/周,机械工程师,不限,18:09发布,江苏集萃智能制造技术研究所有限公司,其他,100-499人,人工智能
出纳,年薪5-7w,杭州,应届,出纳员,1人,18:43发布,金柚网,私营·民营企业,1000-2000人,互联网/移动互联网/电子商务
广东分公司-企划岗（渠道管理类）,年薪9-14w,广州,应届,保险内勤,不限,20:15发布,华夏人寿保险股份有限公司,其他,10000人以上,保险
人力资源实习生（阿格拉）,60元/月,南京,实习5天/周,人力资源专员/助理,2人,18:57发布,五星控股集团,私营·民营企业,10000人以上,基金/证券/期货/投资
合规管理管培生,年薪7-10w,成都-双流区,应届,其他生产/制造/研发职位,1人,20:37发布,四川天味食品集团股份有限公司,私营·民营企业,2000-5000人,食品/饮料/烟酒/日化
产品研发管培生,年薪8-11w,成都-双流区,应届,其他生产/制造/研发职位,4人,20:37发布,四川天味食品集团股份有限公司,私营·民营企业,2000-5000人,食品/饮料/烟酒/日化
咨询实习生,3000元/月,上海-黄浦区,实习5天/周,实习生,1人,20:50发布,上海栖城建筑规划设计有限公司,私营·民营企业,100-499人,房地产开发/建筑/建材/工程
文案实习生,150元/日,上海,实习4天/周,文案/策划,2人,19:03发布,绿水数字,私营·民营企业,1-49人,广告/公关/市场推广/会展
人力资源管培生,年薪7-10w,成都-双流区,应届,其他人力资源,3人,20:37发布,四川天味食品集团股份有限公司,私营·民营企业,2000-5000人,食品/饮料/烟酒/日化
法务专员/助理,150元/日,上海-杨浦区,实习4天/周,法务专员/助理,1人,18:50发布,伦琴(上海)医疗科技有限公司,私营·民营企业,50-99人,医疗/保健/美容/卫生服务
结构工程师（2021届毕业生）,年薪11-14w,上海-浦东新区,应届,结构工程师,不限,18:37发布,上海仙视电子科技有限公司,私营·民营企业,100-499人,电子技术/半导体/集成电路
品牌专员/助理,年薪2-4w,杭州-萧山区,应届,品牌专员/助理,1人,18:47发布,栢特薇(深圳)化妆品有限公司,中外合营(合资·合作),100-499人,百货/批发/零售
2021届应届生点云算法工程师,年薪12-19w,深圳-宝安区,应届,算法工程师,不限,18:49发布,深圳市镭神智能系统有限公司,私营·民营企业,100-499人,电子技术/半导体/集成电路
广东分公司-统计分析岗（渠道管理类）,年薪9-14w,广州,应届,保险内勤,不限,20:15发布,华夏人寿保险股份有限公司,其他,10000人以上,保险
质量检测员/测试员,年薪6-7w,泰州,应届,质量检测员/测试员,50人,20:18发布,可胜科技(苏州)有限公司,外商独资·外企办事处,10000人以上,电子设备
数据分析管培生,年薪7-10w,成都-双流区,应届,数据分析师,1人,20:37发布,四川天味食品集团股份有限公司,私营·民营企业,2000-5000人,食品/饮料/烟酒/日化
